t	v
0.0	-80.0
0.00260161794331	-79.9966990171
0.00744373107595	-79.990039321
0.0165353107953	-79.9768051961
0.0256268905146	-79.9631924486
0.0437078866126	-79.9354834817
0.0617888827107	-79.9071045023
0.1065061859	-79.8345924932
0.15122348909	-79.7594329807
0.19594079228	-79.6824376336
0.240658095469	-79.6042644091
0.285375398659	-79.5254042813
0.365608347601	-79.3833688384
0.487868364321	-79.1671969499
0.610128381042	-78.9525225341
0.732388397763	-78.7402933958
0.938990886708	-78.3886816375
1.14559337565	-78.0464545087
1.47459469928	-77.5219236571
1.8035960229	-77.0229774811
2.34349303434	-76.2589422591
2.88339004578	-75.5608998594
3.42328705721	-74.9253715295
3.96318406865	-74.3484404254
4.78687983578	-73.572422903
5.6105756029	-72.9106435708
6.91483947722	-72.0665966038
8.21910335153	-71.4328503513
9.52336722585	-70.9702158356
10.8276311002	-70.6457588798
12.1318949745	-70.4319829866
13.4361588488	-70.306132805
15.4066360697	-70.2414621597
17.3771132906	-70.2838430466
19.3475905114	-70.3975369533
21.3180677323	-70.5561278002
23.2885449532	-70.7411383212
25.2590221741	-70.9398774136
27.229499395	-71.1430086071
30.1949701908	-71.444594404
35.0271875741	-71.8975870639
39.8594049574	-72.2854900083
44.6916223406	-72.617344681
48.2535045156	-72.8260739035
51.8153866906	-72.9999963669
55.3772688656	-73.1364961902
58.9391510405	-73.2543798943
62.5010332155	-73.3643440098
66.0629153905	-73.4484546797
68.5975527282	-73.4936445831
71.1321900659	-73.5379646588
73.6668274036	-73.584574112
76.2014647413	-73.6248173203
78.736102079	-73.6536802433
81.2707394167	-73.6777411232
83.8053767544	-73.6982100427
86.3400140921	-73.7174572389
88.8746514298	-73.7367955859
91.4092887675	-73.7492202705
93.9439261052	-73.7606333772
96.4785634429	-73.7729414365
99.0132007805	-73.779669337
101.547838118	-73.7893846587
104.082475456	-73.7974338228
106.617112794	-73.7991770915
109.151750131	-73.8075454765
111.686387469	-73.8118903322
114.221024807	-73.811778541
116.755662144	-73.8207928679
118.584683711	-73.830200032
120.413705277	-73.8328148064
122.242726843	-73.827526649
124.071748409	-73.8239122266
125.900769976	-73.8262461249
127.729791542	-73.829481214
129.558813108	-73.8310154494
131.387834674	-73.8303822099
133.216856241	-73.8303397761
135.045877807	-73.8323064352
136.874899373	-73.8331184328
138.70392094	-73.8337204111
140.532942506	-73.8344024764
142.361964072	-73.8343626055
144.190985638	-73.8356089766
146.020007205	-73.836285015
147.849028771	-73.8362826913
149.678050337	-73.8373063745
151.507071903	-73.8373631127
153.33609347	-73.8377024087
155.165115036	-73.8382592873
156.994136602	-73.8380055821
158.823158168	-73.8385231114
160.652179735	-73.8393620576
162.481201301	-73.83961526
164.310222867	-73.840186964
166.139244433	-73.8404649011
167.968266	-73.8405130658
169.797287566	-73.8410382571
171.626309132	-73.8412634613
173.455330698	-73.8413746972
175.284352265	-73.8417848275
177.113373831	-73.8418630756
178.942395397	-73.8419523376
180.771416963	-73.8423521947
182.60043853	-73.8424080029
184.429460096	-73.8424934661
186.258481662	-73.8428376195
188.087503228	-73.8428123834
189.916524795	-73.8429569358
191.745546361	-73.8432829892
193.574567927	-73.843226689
195.403589493	-73.8432707117
197.23261106	-73.8435402067
199.061632626	-73.8436437862
200.890654192	-73.8438989679
202.719675758	-73.8440540849
204.548697325	-73.8439676686
206.377718891	-73.8441938366
208.206740457	-73.8443565954
210.035762024	-73.8443355892
211.86478359	-73.8445555869
213.693805156	-73.8445890755
215.522826722	-73.8445637306
217.351848289	-73.8448216175
219.180869855	-73.8448239657
221.009891421	-73.8448278113
222.838912987	-73.845055193
224.667934554	-73.8449944692
226.49695612	-73.8450643764
228.325977686	-73.8452787258
230.154999252	-73.8451731235
231.984020819	-73.8452925543
233.813042385	-73.8454553715
235.642063951	-73.8453418941
237.471085517	-73.845520887
239.300107084	-73.8458776438
241.12912865	-73.846078223
242.958150216	-73.8461129861
244.787171782	-73.8459996468
246.616193349	-73.8459469218
249.854925361	-73.8457010042
253.093657373	-73.8466393277
256.332389386	-73.8488484448
259.571121398	-73.8495211541
262.80985341	-73.8485628786
266.048585422	-73.8474114113
269.287317435	-73.8459691143
272.526049447	-73.8454986345
275.764781459	-73.8460662312
279.003513472	-73.8458532529
282.242245484	-73.8458288302
285.480977496	-73.8462785367
288.719709509	-73.8459161645
291.958441521	-73.8460930595
295.197173533	-73.846679153
298.435905545	-73.8462895242
301.674637558	-73.8465009198
304.91336957	-73.8469803187
308.152101582	-73.8465018256
311.390833595	-73.8468111838
314.629565607	-73.8472903151
317.868297619	-73.8472260438
321.107029632	-73.8474471905
324.345761644	-73.8475767183
327.584493656	-73.8473096861
333.632327211	-73.8472512882
339.680160765	-73.8481704006
345.727994319	-73.8488957568
351.775827874	-73.84791457
362.813537978	-73.8479950674
373.851248081	-73.8480061251
384.888958185	-73.8470790771
395.926668289	-73.8478708845
406.964378392	-73.8484597117
418.002088496	-73.8458262807
429.0397986	-73.8465033636
440.077508703	-73.8470809506
451.115218807	-73.8441278075
467.757137545	-73.8477088004
484.399056282	-73.8451429068
501.04097502	-73.8488336267
517.682893758	-73.8624886748
531.0	-73.8536842795
531.0	-73.8536842795
531.000544005	-73.8309704654
531.001088009	-73.8098368494
531.00197802	-73.7781422108
531.002868032	-73.7485599457
531.004435614	-73.6997259202
531.007016178	-73.6264425692
531.011581276	-73.5111428703
531.016146374	-73.4088427987
531.020711472	-73.3151255415
531.02527657	-73.2275879639
531.032736899	-73.0940406087
531.040197229	-72.9703508037
531.047657558	-72.8545011332
531.06030335	-72.6722221132
531.072949142	-72.5041893725
531.094544772	-72.2420595759
531.116140402	-72.0027656387
531.137736033	-71.7803394058
531.159331663	-71.5713446853
531.180927294	-71.3734403653
531.216448082	-71.067740469
531.25196887	-70.781431964
531.287489658	-70.5103248805
531.345909766	-70.0908566583
531.404329874	-69.6972827868
531.462749982	-69.3242984723
531.567397931	-68.6966284385
531.67204588	-68.1109991536
531.776693829	-67.5601017887
531.881341777	-67.0378097445
531.985989726	-66.5392110195
532.146735396	-65.8125321612
532.307481066	-65.1270983514
532.468226736	-64.4778787253
532.628972406	-63.8606676633
532.789718075	-63.2718382858
533.063972496	-62.3245726652
533.338226917	-61.439930273
533.612481337	-60.6084787866
533.886735758	-59.8216710639
534.160990178	-59.0713464424
534.62280934	-57.8681455827
535.084628502	-56.7059281373
535.546447665	-55.5324953583
536.008266827	-54.2670993288
536.470085989	-52.7370655795
536.585540779	-52.276900541
536.70099557	-51.7597123762
536.81645036	-51.1623743323
536.931905151	-50.4489731588
537.047359941	-49.5562357789
537.124594842	-48.7970927866
537.201829743	-47.8163866521
537.221138469	-47.5220382838
537.240447194	-47.2003219723
537.259755919	-46.8459522773
537.292357794	-46.1527898024
537.324959669	-45.2953292658
537.344654377	-44.6651339531
537.364349084	-43.9133075563
537.384043791	-42.9880813171
537.403738499	-41.8055099343
537.405573145	-41.6782498963
537.407407792	-41.547402731
537.409242438	-41.4128358029
537.411077085	-41.274404003
537.412911731	-41.1319531168
537.414746378	-40.9853229836
537.416581025	-40.8343462114
537.420047351	-40.536599122
537.426132949	-39.9709825419
537.432218547	-39.3447314962
537.438304145	-38.6505868585
537.444389743	-37.8813657786
537.450475342	-37.0304677882
537.45656094	-36.092470165
537.462646538	-35.0636784267
537.468732136	-33.9424338103
537.474817734	-32.7288883358
537.480903333	-31.4241247303
537.486988931	-30.0287926274
537.493074529	-28.5416616662
537.499160127	-26.9584980473
537.505245726	-25.2714248344
537.511331324	-23.4690480863
537.517416922	-21.5370865378
537.526991427	-18.1963791742
537.536565933	-14.4326059337
537.546140438	-10.2133262556
537.555714943	-5.53728096736
537.565289448	-0.48000974072
537.574863954	4.78616161704
537.584438459	10.0161256391
537.594012964	14.9498758347
537.603587469	19.3769197368
537.613161975	23.1761473688
537.62273648	26.3190883965
537.632310985	28.8466928829
537.64188549	30.8381374041
537.651459996	32.3847388912
537.661034501	33.5733728277
537.670609006	34.4782410034
537.680183511	35.1595787681
537.689758017	35.6639136824
537.699332522	36.0262692014
537.708907027	36.272832365
537.718481533	36.4229215211
537.728056038	36.4918198034
537.737630543	36.4907894565
537.747205048	36.4285118722
