t	v
0.0	-80.0
0.00212717284741	-79.9932196887
0.00552746867323	-79.9837710458
0.011975951214	-79.9679806893
0.0225461807141	-79.9448520184
0.0331164102141	-79.9234218287
0.0436866397142	-79.9031821443
0.0672481178546	-79.8607573564
0.0908095959949	-79.82093714
0.14718207856	-79.731937271
0.203554561126	-79.6488184048
0.259927043691	-79.5688636073
0.316299526257	-79.4908093404
0.372672008822	-79.4141196731
0.47327193426	-79.279912209
0.638545242431	-79.0658521123
0.803818550602	-78.8589053939
0.969091858773	-78.6581642592
1.25266686629	-78.3264747139
1.5362418738	-78.0093899338
2.08480476708	-77.4332525246
2.63336766036	-76.901266084
3.18193055364	-76.4095014344
3.73049344692	-75.955204009
4.2790563402	-75.5359008098
5.19350526461	-74.9087640186
6.10795418903	-74.363291966
7.02240311345	-73.891083989
8.39541108025	-73.3035222444
9.76841904705	-72.8419021896
11.1414270139	-72.4864082136
12.5144349807	-72.219914868
15.0653982024	-71.9119996268
17.6163614241	-71.7837820875
20.1673246458	-71.7800312922
22.7182878675	-71.8583947654
25.2692510893	-71.9883404051
27.820214311	-72.150944368
30.3711775327	-72.3292347717
32.9221407544	-72.5128075109
35.4731039761	-72.6982303528
38.0240671979	-72.8763353598
40.5750304196	-73.0445810605
43.1259936413	-73.2058890631
45.676956863	-73.3550516258
48.2279200847	-73.491692799
50.7788833065	-73.6150188892
53.3298465282	-73.723003034
55.8808097499	-73.8221784129
58.4317729716	-73.9118976277
60.9827361933	-73.9896207167
63.533699415	-74.0596490721
66.0846626368	-74.1220662245
68.6356258585	-74.1759533989
71.1865890802	-74.2238875246
73.7375523019	-74.265766615
76.2885155236	-74.3012828063
78.8394787454	-74.3321355504
81.3904419671	-74.3581783452
83.9414051888	-74.3812180197
86.4923684105	-74.4027319116
89.0433316322	-74.4205164229
91.594294854	-74.4357364277
94.1452580757	-74.4497043694
96.6962212974	-74.4600819089
99.2471845191	-74.4693105425
101.798147741	-74.4785972877
104.349110963	-74.4844255555
106.900074184	-74.4901269865
109.451037406	-74.4965987119
112.002000628	-74.4991866735
113.753931687	-74.4996525194
115.505862747	-74.5010731794
117.257793806	-74.5033310605
119.009724866	-74.5058564136
120.761655925	-74.5082711868
123.633485913	-74.5115920738
126.505315901	-74.5136591154
129.377145889	-74.5150932221
132.248975877	-74.5166112897
135.120805865	-74.5179968863
137.992635853	-74.5192640391
145.53431582	-74.5218076192
153.075995787	-74.5240341414
160.617675754	-74.5255680694
172.356996808	-74.5261457622
194.036458899	-74.5298303455
215.715920991	-74.5299731895
237.395383082	-74.5267388987
255.115552142	-74.5307228029
272.835721201	-74.5297391453
290.555890261	-74.5320822397
308.27605932	-74.5368858196
325.99622838	-74.530221498
343.716397439	-74.5255427512
353.168123388	-74.5300780007
362.619849337	-74.5319819367
372.071575285	-74.5354449349
381.523301234	-74.5355471115
390.975027183	-74.5325435042
405.801960794	-74.5341100723
420.628894405	-74.5320234612
435.455828016	-74.5333587781
450.282761628	-74.5360605531
465.109695239	-74.5310612082
479.93662885	-74.5291005059
494.763562462	-74.5389344439
501.952900939	-74.5377053019
509.142239416	-74.5351922904
516.331577893	-74.5358673618
523.520916369	-74.5351065637
530.710254846	-74.5328444409
531.0	-74.5328145305
531.0	-74.5328145305
531.000545019	-74.4984618342
531.001090037	-74.4664271718
531.001930852	-74.4198610067
531.003252666	-74.3525724296
531.005670907	-74.2419849519
531.008089148	-74.1429187399
531.010507388	-74.0514281479
531.012925629	-73.9653681184
531.017143893	-73.8243938762
531.021362157	-73.6931491477
531.025580421	-73.5695920581
531.032808482	-73.3719591361
531.040036542	-73.1887897828
531.053717151	-72.872544509
531.06739776	-72.5858131252
531.081078369	-72.3212004086
531.094758978	-72.0743945912
531.108439588	-71.8422950016
531.131397012	-71.4796537191
531.154354436	-71.1430161587
531.17731186	-70.8262340054
531.211826794	-70.3791053126
531.246341728	-69.9591759943
531.280856662	-69.5607601212
531.343638234	-68.8785551547
531.406419806	-68.2401086973
531.469201377	-67.6375202062
531.531982949	-67.0640502897
531.594764521	-66.5141294805
531.657546092	-65.9841668126
531.757199681	-65.1791403905
531.923645449	-63.9179784087
532.090091218	-62.7404067286
532.256536986	-61.6298773788
532.422982754	-60.5752048966
532.589428522	-59.5676974834
532.755874291	-58.5988586785
532.922320059	-57.6596678151
533.088765827	-56.7399693657
533.255211596	-55.8276943449
533.518222509	-54.3597484521
533.781233422	-52.7652355513
533.84698615	-52.3281458528
533.912738878	-51.8641636469
533.978491607	-51.3652646515
534.044244335	-50.8209290928
534.164378736	-49.6424117458
534.194412336	-49.2951285574
534.224445937	-48.9159903619
534.254479537	-48.4968797431
534.284513137	-48.0265780422
534.314546738	-47.4877503509
534.344580338	-46.8522033571
534.352088738	-46.6735693979
534.359597138	-46.4849518603
534.367105538	-46.2850022951
534.377560449	-45.9844611666
534.38801536	-45.6529821153
534.398470272	-45.2830647683
534.408925183	-44.8643318184
534.41426008	-44.6277205172
534.419594977	-44.3723306754
534.424929875	-44.0951918386
534.430264772	-43.792932174
534.435599669	-43.4617457278
534.440934566	-43.0974112412
534.446269464	-42.6953979325
534.451604361	-42.2510780632
534.456939258	-41.7600729368
534.462274155	-41.2187681431
534.467609053	-40.6249310855
534.47294395	-39.9782919562
534.478278847	-39.2808055865
534.483613745	-38.5363567138
534.488948642	-37.7498987275
534.494283539	-36.926291037
534.499618436	-36.0692310855
534.504953334	-35.1805839669
534.510288231	-34.2601745575
534.515623128	-33.3058940378
534.520958025	-32.3139978183
534.526292923	-31.2793874807
534.53162782	-30.1958003793
534.540565008	-28.2498963026
534.549502196	-26.1049290998
534.558439384	-23.7135550843
534.567376571	-21.0217505225
534.576313759	-17.9736721662
534.585250947	-14.5206048265
534.594188135	-10.6347698578
534.603125323	-6.32789612223
534.612062511	-1.66549793765
534.620999699	3.20925043811
534.629936886	8.09343103649
534.638874074	12.7644644572
534.647811262	17.0316181969
534.65674845	20.7696613883
534.665685638	23.9290355289
534.674622826	26.5241095739
534.683560014	28.6103907302
534.692497201	30.2615748458
534.701434389	31.5530462295
534.710371577	32.5529020271
534.719308765	33.3185758506
534.728245953	33.89646745
534.737183141	34.3234055672
534.751572865	34.763566278
534.76596259	34.9705691464
534.780352315	34.9961790283
534.79474204	34.877267676
534.809131764	34.6406001175
534.823521489	34.303731966
534.837911214	33.8787991092
534.852300939	33.375815819
534.866690664	32.8037553588
534.881080388	32.1705313283
534.895470113	31.482997342
534.909859838	30.7471989789
534.931586295	29.5569071749
534.953312753	28.28598434
534.975039211	26.9487574137
534.996765668	25.5575615713
535.018492126	24.1228805343
535.040218583	22.6534473177
535.061945041	21.1564579968
535.083671499	19.6378448338
535.105397956	18.1025767678
535.127124414	16.5548953642
535.148850871	14.99843314
535.170577329	13.4362819452
535.192303787	11.8710759824
535.22698864	9.3715976411
535.261673493	6.87782789337
535.296358346	4.39584029597
535.331043199	1.93101115783
535.365728053	-0.511806364865
535.400412906	-2.92889246449
535.435097759	-5.3183221683
535.469782612	-7.68009716879
535.504467465	-10.013121312
535.539152319	-12.3165955516
535.573837172	-14.5806932113
535.608522025	-16.783098309
535.643206878	-18.928252461
535.677891731	-21.0212319408
535.712576585	-23.0651253498
535.747261438	-25.0562753223
535.781946291	-27.0008420845
535.816631144	-28.906841594
535.851315997	-30.7828948993
535.886000851	-32.627823127
535.920685704	-34.4393897928
535.955370557	-36.2131968307
535.99005541	-37.9439553883
536.024740263	-39.6235544945
536.059425117	-41.2431954951
536.09410997	-42.7958606138
536.128794823	-44.2866230042
536.163479676	-45.7113931743
536.198164529	-47.0511950677
536.232849383	-48.2861691349
536.267534236	-49.4087327242
536.302219089	-50.4188704205
536.336903942	-51.318626664
536.371588795	-52.1129347756
536.406273649	-52.8110832536
536.459843233	-53.7267915075
536.513412817	-54.4824309326
536.566982401	-55.1145123796
536.620551985	-55.6509072873
536.674121569	-56.1124504897
536.727691153	-56.5150652581
536.781260737	-56.8709649795
536.83483032	-57.1893250036
536.919951183	-57.6344649193
537.050957237	-58.2111139093
537.181963291	-58.6873745199
537.312969345	-59.0853773592
537.443975399	-59.4187111579
537.574981453	-59.6950678248
537.705987507	-59.9209279472
537.836993561	-60.1033229504
538.037430868	-60.3094644523
538.237868175	-60.4398903014
538.438305482	-60.5055074517
538.638742789	-60.5151903188
538.839180096	-60.4766136775
539.039617403	-60.3962619449
539.24005471	-60.2795570265
539.546191263	-60.0410491347
539.852327817	-59.741722572
540.15846437	-59.3925157661
540.631754611	-58.7731512831
541.105044852	-58.076469637
541.578335092	-57.3163439028
542.051625333	-56.4942492671
542.524915574	-55.6059551184
542.998205815	-54.6255532567
543.471496056	-53.5200992904
543.589818616	-53.210363559
543.708141176	-52.8789781639
543.826463736	-52.5222617581
543.944786297	-52.1391197603
544.063108857	-51.7218130188
544.181431417	-51.2619748533
544.299753977	-50.7412147579
544.418076537	-50.1337156964
544.536399098	-49.3928772548
544.654721658	-48.436358373
544.684302298	-48.1471691753
544.713882938	-47.8270864024
544.743463578	-47.469497385
544.773044218	-47.0653043906
544.802624858	-46.6001989822
544.832205498	-46.0512792208
544.850540257	-45.6536643444
544.868875015	-45.1954606879
544.887209773	-44.6541492833
544.905544532	-43.9934171318
544.9141522	-43.6268173082
544.922759868	-43.2120566588
544.931367537	-42.7374289291
544.939975205	-42.1891876993
544.945810345	-41.7679503749
544.951645486	-41.3012232357
544.957480626	-40.7848931764
544.963315766	-40.2159081182
544.969150907	-39.5928722089
544.974986047	-38.9165579334
544.980821187	-38.1899749198
544.986656327	-37.4177519813
544.992491468	-36.6049946624
544.998326608	-35.7560922359
545.004161748	-34.8738744181
545.009996889	-33.9592346412
545.015832029	-33.0111154114
545.02505259	-31.4364626519
545.034273152	-29.7519377319
545.043493713	-27.9326733753
545.052714274	-25.9473683462
545.061934836	-23.760418411
545.071155397	-21.3330708315
545.080375958	-18.6275606875
545.08959652	-15.6128936613
545.098817081	-12.2735655177
545.108037642	-8.62161706737
545.117258204	-4.69890365409
545.126478765	-0.593280235997
545.135699326	3.5680930442
545.144919888	7.63775733783
545.154140449	11.4753549406
545.16336101	14.9711787135
545.172581572	18.0592052413
545.181802133	20.7173348101
545.191022694	22.9584799453
545.200243256	24.8181192546
545.209463817	26.3422406743
545.218684378	27.5809218384
545.22790494	28.5798765136
545.237125501	29.3792801152
545.246346062	30.0132355177
545.255566624	30.5097216094
545.270403841	31.0747599139
545.285241059	31.4094547482
545.300078276	31.5623955459
545.314915494	31.5653534736
545.329752711	31.4408279714
545.344589928	31.2063963421
545.359427146	30.8758560541
545.374264363	30.4600166923
545.389101581	29.9677942431
545.403938798	29.4070727936
545.418776016	28.7850540892
545.441254334	27.7402889828
545.463732653	26.589666368
545.486210972	25.3502171512
545.508689291	24.0366922245
545.531167609	22.6619441891
545.553645928	21.2370064417
545.576124247	19.771165917
545.598602566	18.2722015868
545.621080884	16.7467310226
545.643559203	15.200475107
545.666037522	13.638386356
545.688515841	12.0647277285
545.722650096	9.66109472615
545.75678435	7.25000613134
545.790918605	4.8401093351
545.82505286	2.43834235001
545.859187115	0.0503147776385
545.89332137	-2.31914221749
545.927455624	-4.66586005493
545.961589879	-6.98701959842
545.995724134	-9.28155638214
546.029858389	-11.5480934189
546.063992644	-13.7842000559
546.098126898	-15.9643336437
546.132261153	-18.090904601
546.166395408	-20.1667581954
546.200529663	-22.1931256344
546.234663918	-24.1684343452
546.268798172	-26.0974898296
546.302932427	-27.9871082868
546.337066682	-29.8429743938
546.371200937	-31.6648563092
546.405335192	-33.4496651416
546.439469446	-35.1931414916
546.473603701	-36.8894613359
546.507737956	-38.5310835661
546.541872211	-40.1094526057
546.576006466	-41.6173951955
546.61014072	-43.0518255489
546.644274975	-44.4189866069
546.67840923	-45.7158505513
546.712543485	-46.9293170392
546.74667774	-48.0484868751
546.780811994	-49.0714906464
546.814946249	-50.000160789
546.849080504	-50.8367809012
546.883214759	-51.5857735915
546.93573593	-52.5850664543
546.988257101	-53.4274951082
547.040778273	-54.1442524176
547.093299444	-54.761064053
547.145820615	-55.2978374733
547.198341787	-55.770077279
