t	v
531.198639528	-69.3736569335
531.226618508	-69.064223531
531.272777976	-68.5834529694
531.318937443	-68.1330293936
531.365096911	-67.7077051968
531.437405327	-67.0842411763
531.509713742	-66.5049697777
531.623767358	-65.665171622
531.737820974	-64.8997832167
531.851874589	-64.1954371332
531.965928205	-63.5418084817
532.07998182	-62.9307978139
532.262416627	-62.026534741
532.444851434	-61.1955973663
532.62728624	-60.4232909512
532.809721047	-59.6974465346
532.992155854	-59.0075386485
533.303160233	-57.8879310251
533.614164612	-56.8033206948
533.92516899	-55.7072731932
534.236173369	-54.5311450558
534.547177748	-53.1467832787
534.624928843	-52.7445517911
534.702679938	-52.3002446555
534.780431032	-51.7998386565
534.858182127	-51.2241745264
534.935933222	-50.5399784318
535.013684316	-49.6841570121
535.091435411	-48.5109736411
535.110873185	-48.1397947062
535.130310958	-47.7202575884
535.161235895	-46.9128325146
535.182540454	-46.2124383619
535.203845013	-45.3273801427
535.218152556	-44.5779397437
535.232460098	-43.6381512857
535.24676764	-42.4119915304
535.255020306	-41.5203356516
535.263272972	-40.4513946436
535.271525638	-39.1760921544
535.279778303	-37.6830696071
535.284849133	-36.6627131378
535.289919963	-35.5747067143
535.294990793	-34.429119688
535.300061622	-33.2336959614
535.305132452	-31.9928336282
535.310203282	-30.7076321869
535.315274112	-29.375971715
535.320344941	-27.9926293021
535.325415771	-26.5497912254
535.330486601	-25.0377048565
535.338183908	-22.5844985162
535.345881216	-19.9007036262
535.353578524	-16.9388259753
535.361275831	-13.6558231229
535.368973139	-10.0240397438
535.376670446	-6.04145457103
535.384367754	-1.74527518607
535.392065061	2.77283987974
535.399762369	7.37122400777
535.407459677	11.8797919355
535.415156984	16.1327672513
535.422854292	19.9993934014
535.430551599	23.4028367913
535.438248907	26.3220328459
535.445946215	28.7796454932
535.453643522	30.8243425486
535.46134083	32.5149133747
535.469038137	33.9097090997
535.476735445	35.0606066381
535.484432752	36.0128357259
535.49213006	36.8037441697
535.504089079	37.7802420237
535.516048097	38.5198081539
535.528007116	39.0797900036
535.539966134	39.5007042857
535.551925152	39.8103122596
535.563884171	40.0273445515
535.575843189	40.165877617
535.587802208	40.2377979477
535.599761226	40.2527616343
535.611720245	40.2179094674
535.623679263	40.1387045393
535.635638282	40.0199586626
535.6475973	39.8659867323
535.659556319	39.6802520003
535.67800525	39.3374974554
535.696454181	38.9331433865
535.714903112	38.4735628249
535.733352043	37.9642733015
535.751800973	37.4100037477
535.770249904	36.8147592698
535.788698835	36.1819187481
535.807147766	35.5143681266
535.825596697	34.8146374391
535.844045628	34.0849861395
535.862494559	33.3274343642
535.88094349	32.5437826322
535.910375764	31.2435373823
535.939808038	29.8867816798
535.969240312	28.4785551957
535.998672586	27.0233337578
536.02810486	25.525174334
536.057537134	23.9878327168
536.086969408	22.4148686
536.116401682	20.8097239658
536.145833956	19.175774026
536.17526623	17.5163517994
536.204698504	15.8347428097
536.250651021	13.1724714398
536.296603539	10.4755094399
536.342556056	7.75475934785
536.388508573	5.0199729437
536.434461091	2.27969676212
536.480413608	-0.45852420783
536.526366125	-3.1879865972
536.572318643	-5.90324217566
536.61827116	-8.59853479069
